,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
97,BKI,"Black Knight, Inc.",79.16,-0.14,-0.18%,"726,971","842,153",12.43B,84.12
98,HPE,Hewlett Packard Enterprise Company,9.67,+0.06,+0.62%,7.844M,12.323M,12.424B,N/A
99,MPWR,"Monolithic Power Systems, Inc.",275.86,-3.26,-1.17%,"164,321","325,884",12.39B,100.02
100,LOGI,Logitech International S.A.,73.78,-0.79,-1.06%,"200,414","536,096",12.486B,26.28
101,TDY,Teledyne Technologies Incorporated,332.18,+0.58,+0.17%,"122,655","370,933",12.245B,31.48
102,UI,Ubiquiti Inc.,186.40,-1.86,-0.99%,"64,265","95,536",11.871B,37.30
103,OTEX,Open Text Corporation,43.61,-0.24,-0.55%,"382,985","540,000",11.823B,50.71
104,NET,"Cloudflare, Inc.",38.50,-0.35,-0.90%,2.984M,5.94M,11.77B,N/A
105,CGNX,Cognex Corporation,67.49,-0.38,-0.56%,"509,490",1.037M,11.679B,84.36
106,STX,Seagate Technology plc,45.07,+0.17,+0.38%,1.949M,3.308M,11.604B,11.89
107,IT,"Gartner, Inc.",129.49,-1.64,-1.25%,"151,563","495,765",11.555B,48.88
108,CCC,Clarivate Plc,28.88,-0.43,-1.47%,"675,633",1.741M,11.187B,N/A
109,SEDG,"SolarEdge Technologies, Inc.",219.21,-5.97,-2.65%,"729,274",1.114M,10.986B,65.55
110,WDC,Western Digital Corporation,35.74,0.00,0.00%,4.911M,5.816M,10.711B,N/A
111,CDAY,Ceridian HCM Holding Inc.,72.84,-0.01,-0.01%,"803,991",1.563M,10.699B,146.85
112,DT,"Dynatrace, Inc.",37.31,-0.22,-0.59%,2.075M,3.531M,10.486B,N/A
113,DNB,"Dun & Bradstreet Holdings, Inc.",25.36,+0.47,+1.89%,"400,669",2.771M,10.722B,N/A
114,PTC,PTC Inc.,87.48,-0.58,-0.66%,"551,137","713,223",10.158B,116.64
115,ZEN,"Zendesk, Inc.",87.87,-0.05,-0.06%,"848,207",2.157M,10.142B,N/A
116,AVLR,"Avalara, Inc.",119.27,-3.16,-2.58%,"599,918",1.12M,10.031B,N/A
117,ENTG,"Entegris, Inc.",69.73,-0.93,-1.32%,"523,796",1.003M,9.401B,41.75
118,PEGA,Pegasystems Inc.,116.03,-0.78,-0.67%,"186,636","353,571",9.331B,N/A
119,NTAP,"NetApp, Inc.",41.56,-0.18,-0.43%,2.375M,2.605M,9.224B,11.81
120,GWRE,"Guidewire Software, Inc.",110.63,+1.93,+1.78%,"708,138","562,826",9.202B,N/A
121,CIEN,Ciena Corporation,59.74,-0.94,-1.55%,1.245M,1.864M,9.179B,29.11
